"answer_text_a","answer_links_a","question_id_a","participant_id_a","role_a","age_a","gender_a","gender[other]_a","educationlevel_a","educationstatus_a","program_a","familiar_a","interviewtime_a","english_answer_text_a","english_answer_links_a"
"Die Universität Osnabrück sowie das Studierendenwerk Osnabrück bieten Beratungen zu Nachteilsausgleichen an. 
Eine zentrale Anlaufstelle ist der Universität Osnabrück:

Christine Kammler, M.A.
Beauftragte für Studierende mit Behinderung und chronischer Erkrankung
Raum 19/118
Neuer Graben 27
49074 Osnabrück
Tel.: +49 541 969 6366
E-Mail: christine.kammler@uni-osnabrueck.de","https://www.uni-osnabrueck.de/studieninteressierte/erste-orientierung/studieren-mit-behinderung-und-chronischer-erkrankung/; https://digitale-lehre.uni-osnabrueck.de/Ideenpool/Lehre%20Barrierefreier%20gestalten%20Folien.pdf; https://www.studentenwerk-osnabrueck.de/de/beratung/studieren-mit-handicap.html","336","1","enrolled","A2","A2","","A4","A4","Cognitive Science","A2","2526.03","The University of Osnabrück and the Osnabrück Student Services offer consultations on compensations for disadvantages. A central contact point is the University of Osnabrück:

Christine Kammler, M.A. Representative for Students with Disabilities and Chronic Illnesses Room 19/118 Neuer Graben 27 49074 Osnabrück Tel.: +49 541 969 6366 E-Mail: christine.kammler@uni-osnabrueck.de","https://www.uni-osnabrueck.de/studieninteressierte/erste-orientierung/studieren-mit-behinderung-und-chronischer-erkrankung/; https://digitale-lehre.uni-osnabrueck.de/Ideenpool/Lehre%20Barrierefreier%20gestalten%20Folien.pdf; https://www.studentenwerk-osnabrueck.de/de/beratung/studieren-mit-handicap.html"
"Mit einem Bachelor in Cognitive Science stehen Ihnen an der Universität Osnabrück unter anderem folgende Master-Studiengänge offen:

Cognitive Science – Master of Science
Cognitive Computing – Master of Science (berufsbegleitend)

Informatik (M.Sc.):
Fachliche Eignung besteht bei mind. 60 ECTS in Informatik (ohne Bachelorarbeit), insbesondere in:

Algorithmik, Software-Entwicklung, Technische und Theoretische Informatik.
Für Absolvent*innen der Universität Osnabrück ist dies mit den Modulen INF-INF-E-AD, INF-INF-E-TEC, INF-INF-E-SW und INF-INF-E-TH erfüllt. Fehlende Module (max. 15 ECTS) können ggf. nachgeholt werden.

Psychologie – Schwerpunkt Interkulturelle Psychologie (M.Sc.):
Voraussetzung: 90 ECTS in Psychologie, inkl.

Statistik (16 ECTS) & Forschungspraktikum (5 ECTS)
Diagnostik (8 ECTS), Allgemeine Psychologie (16 ECTS)
Leistungen aus mind. 5 der 6 Bereiche: Biologische, Differentielle, Entwicklungs-, Klinische, Sozial- oder Wirtschaftspsychologie (je 8 ECTS).","https://www.uni-osnabrueck.de/fileadmin/documents/public/ordnungen/ZugangsO-Master-Psychologie-IKP_2023-02.pdf; https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/cognitive-science-bachelor-of-science/; https://www.uni-osnabrueck.de/fileadmin/documents/public/ordnungen/ZugangsO-Master-Informatik_2020-05.pdf; https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/cognitive-computing-master-of-science-berufsbegleitend/","9","1","enrolled","A2","A2","","A4","A4","Cognitive Science","A2","2526.03","With a Bachelor's in Cognitive Science, the University of Osnabrück offers you the following Master's programs, among others:

Cognitive Science – Master of Science  
Cognitive Computing – Master of Science (part-time)

Computer Science (M.Sc.):  
Subject-specific qualification requires at least 60 ECTS in Computer Science (excluding the Bachelor's thesis), particularly in:

Algorithms, Software Development, Technical and Theoretical Computer Science.  
For graduates of the University of Osnabrück, this is fulfilled with the modules INF-INF-E-AD, INF-INF-E-TEC, INF-INF-E-SW, and INF-INF-E-TH. Missing modules (max. 15 ECTS) can be made up if necessary.

Psychology – Focus on Intercultural Psychology (M.Sc.):  
Requirement: 90 ECTS in Psychology, including:

Statistics (16 ECTS) & Research Internship (5 ECTS)  
Diagnostics (8 ECTS), General Psychology (16 ECTS)  
Achievements in at least 5 of the 6 areas: Biological, Differential, Developmental, Clinical, Social, or Economic Psychology (8 ECTS each).","https://www.uni-osnabrueck.de/fileadmin/documents/public/ordnungen/ZugangsO-Master-Psychologie-IKP_2023-02.pdf; https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/cognitive-science-bachelor-of-science/; https://www.uni-osnabrueck.de/fileadmin/documents/public/ordnungen/ZugangsO-Master-Informatik_2020-05.pdf; https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/cognitive-computing-master-of-science-berufsbegleitend/"
"Monatliche Lebenshaltungskosten: ca. 990 €
Diese setzen sich beispielhaft zusammen:

Miete: ca. 270 – 350 €
Essen: ca. 120 – 180 €
Bücher & Studienmaterial: 25 – 50 € 
Krankenversicherung: ca. 110 €
Rundfunkbeitrag: 18,36 €

Pro Semester:
Semesterbeitrag(Wintersemester 2024/2025): 361,90 €. 

Einmalige Kosten:
Kaution: Im Wohnheim ca. 600 €, auf dem freien Wohnungsmarkt meist drei Monatsmieten.","https://www.uni-osnabrueck.de/studieninteressierte/studienbeginn/kosten/#c281719; https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/lebenshaltungskosten/","203","1","enrolled","A2","A2","","A4","A4","Cognitive Science","A2","2526.03","Monthly living expenses: approx. €990 These are composed as follows:

Rent: approx. €270 – €350 Food: approx. €120 – €180 Books & study materials: €25 – €50 Health insurance: approx. €110 Broadcasting fee: €18.36

Per semester: Semester fee (Winter semester 2024/2025): €361.90.

One-time costs: Deposit: In the dormitory approx. €600, on the open housing market usually three months' rent.","https://www.uni-osnabrueck.de/studieninteressierte/studienbeginn/kosten/#c281719; https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/lebenshaltungskosten/"
"Die oberen Führungsebenen der Universität Osnabrück sind hinsichtlich des Geschlechts ausgewogen besetzt, mit einer gleichmäßigen Verteilung zwischen männlichen und weiblichen Mitgliedern. Bezüglich der ethnischen Zugehörigkeit liegen keine spezifischen Daten vor; es wird jedoch angenommen, dass die Mehrheit der Führungskräfte weiß ist.

Für detailliertere Informationen zur Diversität in Führungspositionen können Sie das Gleichstellungsbüro der Universität kontaktieren.
https://www.uni-osnabrueck.de/universitaet/organisation/zentrale-verwaltung/gleichstellungsbuero/","[Website zur Zusammenseztung des Präsidium](https://www.uni-osnabrueck.de/universitaet/organisation/organe-und-gremien/praesidium/); [Artikel zur Vielfalt an der Universität](https://www.uni-osnabrueck.de/universitaet/organisation/zentrale-verwaltung/gleichstellungsbuero/vielfalt-an-der-universitaet-osnabrueck/)","73","2","enrolled","A2","A1","","A4","A4","Cognitive Science","A1","1297.61","The upper management levels of the University of Osnabrück are balanced in terms of gender, with an equal distribution between male and female members. There is no specific data available regarding ethnic affiliation; however, it is assumed that the majority of the leadership is white.

For more detailed information on diversity in leadership positions, you can contact the university's Equal Opportunities Office.
https://www.uni-osnabrueck.de/universitaet/organisation/zentrale-verwaltung/gleichstellungsbuero/","[Website on the composition of the Presidium](https://www.uni-osnabrueck.de/universitaet/organisation/organe-und-gremien/praesidium/); [Article on Diversity at the University](https://www.uni-osnabrueck.de/universitaet/organisation/zentrale-verwaltung/gleichstellungsbuero/vielfalt-an-der-universitaet-osnabrueck/)"
"
Die Universität Osnabrück bietet Studierenden verschiedene Wohnmöglichkeiten an, hauptsächlich über das Studierendenwerk Osnabrück. Dieses verwaltet über 2.000 Wohnplätze in unterschiedlichen Wohnanlagen, darunter Einzelzimmer, Apartments und Familienwohnungen. 

Bewerbung für eine Unterkunft:

Online-Bewerbung:
Interessierte können sich über das Bewerbungsformular des Studierendenwerks für einen Wohnheimplatz bewerben. Es wird empfohlen, sich frühzeitig zu bewerben, da die Plätze begehrt sind. 

Internationale Studierende:
Austauschstudierende von Partnerhochschulen bewerben sich für ein Zimmer im Studentenwohnheim über das International Office. 


Alternative Wohnmöglichkeiten:

Private Unterkünfte: 
Das Schwarze Brett der Universität bietet eine Plattform für Wohnungsangebote und -gesuche. 

Wohnen für Hilfe: 
Dieses Projekt vermittelt Wohnraum im Austausch für Hilfeleistungen im Haushalt oder Garten. Weitere Informationen finden Sie beim AStA der Universität Osnabrück.

Für eine erfolgreiche Bewerbung sollten Sie die jeweiligen Voraussetzungen und Fristen der einzelnen Wohnangebote beachten. Bei weiteren Fragen stehen das Studierendenwerk und das International Office gerne zur Verfügung.
","[Studierendenwerk Osnabrück](https://www.studentenwerk-osnabrueck.de/de/startseite.html); [Wohnen für Studieninteressierte aus dem Ausland ](https://www.uni-osnabrueck.de/studieninteressierte/studieninteressierte-aus-dem-ausland/service/wohnen); [Allgemeines zum Wohenen in Osnabrück](https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/wohnen/); [Wohnen für Hilfe](https://www.asta.uni-osnabrueck.de/rund-ums-studium/wohnen-fuer-hilfe)","204","2","enrolled","A2","A1","","A4","A4","Cognitive Science","A1","1297.61","The University of Osnabrück offers students various housing options, mainly through the Osnabrück Student Services. This organization manages over 2,000 living spaces in different residential complexes, including single rooms, apartments, and family housing.

Application for accommodation:

Online application:
Interested individuals can apply for a dormitory place through the Student Services' application form. It is recommended to apply early, as the places are in high demand.

International students:
Exchange students from partner universities apply for a room in the student dormitory through the International Office.

Alternative housing options:

Private accommodations:
The university's bulletin board offers a platform for housing offers and requests.

Living for help:
This project provides housing in exchange for assistance with household or garden tasks. Further information can be found at the AStA of the University of Osnabrück.

For a successful application, you should pay attention to the respective requirements and deadlines of the individual housing offers. For further questions, the Student Services and the International Office are happy to assist.","[Student Services Osnabrück](https://www.studentenwerk-osnabrueck.de/de/startseite.html); [Housing for prospective international students](https://www.uni-osnabrueck.de/studieninteressierte/studieninteressierte-aus-dem-ausland/service/wohnen); [General information about living in Osnabrück](https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/wohnen/); [Living for Help](https://www.asta.uni-osnabrueck.de/rund-ums-studium/wohnen-fuer-hilfe)"
"Dies ist eine sehr allgemeine Frage. Bitte gib mehr Informationen dazu, welcher Studiengang oder welche Berufe dich interessieren würden.","","356","2","enrolled","A2","A1","","A4","A4","Cognitive Science","A1","1297.61","This is a very general question. Please provide more information about which course of study or professions would interest you.",""
"Die Kosten für ein Semester an der Universität Osnabrück sind von vielen Faktoren abhängig. Dabei gibt es Kosten, die für jede*n Studierende*n anfallen, aber auch individuelle Kosten.

Zum einem fallen für das Studium an der Universität Osnabrück Semesterbeiträge an. Diese müssen die Studierende für jedes Semester zahlen.
""Für das Wintersemester 2024/2025 beträgt dieser an der Universität Osnabrück 361,90€ und setzt sich wie folgt zusammen:

93,00€ = Beitrag für das Studierendenwerk
193,90€ = Beitrag für die Studierendenschaft;
                  davon 17,50€ = AStA- Beitrag
                           176,40€ = Kosten für das studentische Deutschlandticket
75,00€ = Verwaltungskostenbeitrag (§11 Niedersächsisches Hochschulgesetz)""

Ab einer gewissen Anzahl von Semestern kann sich dieser Semesterbeitrag um 500€ erhöhen. Diese Erhöhung nennt sich Langzeitstudiengebühren. Diese werden aber nur nach Verbrauch eines sogenannten ""Studienguthabens"" erhoben. Das Studienguthaben enthält die Regelstudienzeit sowie Toleranzsemester. 
Weitere Informationen zu den Langzeitstudiengebühren finden Sie auf der Seite [Kosten des Studiums Unterpunkt Studienguthaben](https://www.uni-osnabrueck.de/studieninteressierte/studienbeginn/kosten/#c281719)

Zudem werden weiterbildende Studiengänge angeboten, die entgeltpflichtig sind.
An der Universität Osnabrück betrifft das derzeit folgende Studiengänge:

1. M.Sc. Cognitive Computing
2. Psychologischer Psychotherapeut
3. Kinder- und Jugendlichenpsychotherapeut
4. Master-Erweiterungsstudiengänge ""Erweiterungsfach Lehramt""

Hinzu kommen natürlich monatliche Lebenshaltungskosten, die jede*r Studienrende persönlich hat. Weitere Informationen, welche Kosten monatlich beachtet werden sollten, finden Sie unter [Lebenshaltungskosten](https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/lebenshaltungskosten/)

Allerdings gibt es auch viele Angebote von Stipendien und Förderungen, um die Kosten für Studierende zu verringern. Weitere Informationen zu Stipendien und Förderungen finden Sie unter [Stipendien und Förderungen](https://www.uni-osnabrueck.de/studieninteressierte/stipendien-und-foerderung/)
","[Kosten des Studiums](https://www.uni-osnabrueck.de/studieninteressierte/studienbeginn/kosten/#c281719); [Lebenshaltungskosten](https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/lebenshaltungskosten/); [Stipendien und Förderungen](https://www.uni-osnabrueck.de/studieninteressierte/stipendien-und-foerderung/); [Kosten, Finanzierung und Stipendien](https://www.uni-osnabrueck.de/studieninteressierte/studieninteressierte-aus-dem-ausland/kosten-und-finanzierung/)","32","3","enrolled","A3","A1","","A5","A4","Master of Education Lehramt an berufsbildenen Schulen für Fachbachelor","A2","6915.03","The costs for a semester at the University of Osnabrück depend on many factors. There are costs that apply to every student, but also individual costs.

On one hand, semester fees are incurred for studying at the University of Osnabrück. Students must pay these fees for each semester. ""For the winter semester 2024/2025, this amounts to €361.90 at the University of Osnabrück and is composed as follows:

€93.00 = Contribution for the student services
€193.90 = Contribution for the student body;
                  of which €17.50 = AStA contribution
                           €176.40 = Costs for the student Germany ticket
€75.00 = Administrative fee (§11 Lower Saxony Higher Education Act)""

After a certain number of semesters, this semester fee can increase by €500. This increase is called long-term study fees. However, these are only charged after the consumption of a so-called ""study credit."" The study credit includes the standard period of study as well as tolerance semesters. More information on long-term study fees can be found on the page [Costs of Studies Subsection Study Credit](https://www.uni-osnabrueck.de/studieninteressierte/studienbeginn/kosten/#c281719)

In addition, continuing education programs are offered, which are subject to fees. At the University of Osnabrück, this currently applies to the following programs:

1. M.Sc. Cognitive Computing
2. Psychological Psychotherapist
3. Child and Adolescent Psychotherapist
4. Master's extension programs ""Extension Subject Teaching""

Of course, there are also monthly living expenses that each student personally has. More information on which costs should be considered monthly can be found under [Living Expenses](https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/lebenshaltungskosten/)

However, there are also many scholarship and funding offers to reduce costs for students. More information on scholarships and funding can be found under [Scholarships and Funding](https://www.uni-osnabrueck.de/studieninteressierte/stipendien-und-foerderung/)","[Costs of studying](https://www.uni-osnabrueck.de/studieninteressierte/studienbeginn/kosten/#c281719); [Cost of living](https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/lebenshaltungskosten/); [Scholarships and Grants](https://www.uni-osnabrueck.de/studieninteressierte/stipendien-und-foerderung/); [Costs, Financing and Scholarships](https://www.uni-osnabrueck.de/studieninteressierte/studieninteressierte-aus-dem-ausland/kosten-und-finanzierung/)"
"Das Studierendenwerk Osnabrück bietet mehrere Studentenunterkünfkte. Erster Kontakt für studentischen Wohnraum ist die Wohnraumzentrale des Studierendenwerks. Sie vermittelt neben den Zimmern in den Wohnheimen auch einige private Wohnungen.
Insgesamt stehen rund 1.700 Wohnheimplätze zur Verfügung. Die Wohnformen reichen vom Einzelzimmer bis zu Wohngemeinschaften und Familienappartements. 

Ob zum aktuellen Zeitpunkt Studierendeunterkünfte frei sind, kann ich Ihnen nicht beantworten. Allerdings können dies die Kolleg*innen vom Studierendenwerk Osnabrück. Sie erreichen diese unter folgenden Kontaktdaten:

Studierendenwerk Osnabrück 
Abteilung Studentisches Wohnen
Ritterstraße 10
49074 Osnabrück
Tel. +49 541 331073-0 
Telefonische Erreichbarkeit
Montag bis Donnerstag: 
09:00 bis 15:00 Uhr 
Freitag: 
09:00 bis 13:00 Uhr

Für weitere Informationen zum Thema studentischer Wohnraum, besuchen Sie bitte folgende Webseiten:
[Unterkunft für Studierende](https://www.uni-osnabrueck.de/studieninteressierte/studieninteressierte-aus-dem-ausland/service/wohnen/)
oder
[Wohnen in Osnabrück](https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/wohnen/)","[Unterkunft für Studierende](https://www.uni-osnabrueck.de/studieninteressierte/studieninteressierte-aus-dem-ausland/service/wohnen/); [Wohnen in Osnabrück](https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/wohnen/)","298","3","enrolled","A3","A1","","A5","A4","Master of Education Lehramt an berufsbildenen Schulen für Fachbachelor","A2","6915.03","The Studierendenwerk Osnabrück offers several student accommodations. The first contact for student housing is the housing center of the Studierendenwerk. In addition to rooms in the dormitories, it also arranges some private apartments. 

A total of around 1,700 dormitory places are available. The housing options range from single rooms to shared apartments and family apartments.

I cannot tell you whether student accommodations are currently available. However, the colleagues at the Studierendenwerk Osnabrück can. You can reach them at the following contact details:

Studierendenwerk Osnabrück
Department of Student Housing
Ritterstraße 10
49074 Osnabrück
Tel. +49 541 331073-0
Telephone availability
Monday to Thursday:
09:00 to 15:00
Friday:
09:00 to 13:00

For more information on student housing, please visit the following websites:
[Accommodation for Students](https://www.uni-osnabrueck.de/studieninteressierte/studieninteressierte-aus-dem-ausland/service/wohnen/)
or
[Living in Osnabrück](https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/wohnen/)","[Accommodation for students](https://www.uni-osnabrueck.de/studieninteressierte/studieninteressierte-aus-dem-ausland/service/wohnen/); [Living in Osnabrück](https://www.uni-osnabrueck.de/studieninteressierte/leben-in-osnabrueck/wohnen/)"
"Es lohnt sich immer, sich über BAföG und Stipendien zu informieren.
Denn möglicherweise können Sie BAFöG - also staatliche, zinsfreie finanzielle Unterstützung - beziehen, um Ihr Studium zu finanzieren. 
Ob Sie ein Anspruch auf BAFöG haben, können Sie einfach beim Studentenwerk überprüfen lassen.
Buchen Sie sich einfach einen Beratungstermin beim Studentenwerk und lassen sich kompetent beraten. Für weitere Informationen zum BAFöG oder einen Beratungstermin [Studentenwerk BAFöG](https://www.studentenwerk-osnabrueck.de/de/finanzen.html)

Des Weiteren sollten Sie prüfen, on sie ein Stipendium bekommen können.
Denn Studierenden und Promovierenden eröffnen sich vielfältige Möglichkeiten finanzieller und auch sachlicher Unterstützung ‒ sowohl durch BAföG als auch durch Stipendien und Förderprogramme.
Für die Suche nach dem passenden Stipendium bietet unter anderem die Plattform european-funding-guide.eu einen Orientierungsrahmen. Aber auch die Universität Osnabrück bietet unterschiedliche Förderungen und Stipendien an.
Für weitere Informationen zu Stipendien besuchen Sie folgende Website: [Stipendien und Förderung](https://www.uni-osnabrueck.de/studieninteressierte/stipendien-und-foerderung/)

","[Studienfinanzierung](https://www.uni-osnabrueck.de/universitaet/organisation/international-office/coordination-refugeesuos/studienfinanzierung/); [Studentenwerk BAFöG](https://www.studentenwerk-osnabrueck.de/de/finanzen.html); [Stipendien und Förderung](https://www.uni-osnabrueck.de/studieninteressierte/stipendien-und-foerderung/)","167","3","enrolled","A3","A1","","A5","A4","Master of Education Lehramt an berufsbildenen Schulen für Fachbachelor","A2","6915.03","It is always worthwhile to get information about BAföG and scholarships. You may be eligible for BAföG - that is, government, interest-free financial support - to finance your studies. You can easily check with the student services whether you are eligible for BAföG. Simply book a consultation appointment with the student services and get competent advice. For more information on BAföG or to schedule a consultation appointment [Studentenwerk BAFöG](https://www.studentenwerk-osnabrueck.de/de/finanzen.html)

Furthermore, you should check if you can get a scholarship. Students and doctoral candidates have a variety of opportunities for financial and material support ‒ both through BAföG and through scholarships and funding programs. The platform european-funding-guide.eu, among others, offers a framework for finding the right scholarship. But the University of Osnabrück also offers various grants and scholarships. For more information on scholarships, visit the following website: [Scholarships and Funding](https://www.uni-osnabrueck.de/studieninteressierte/stipendien-und-foerderung/)","[Study financing](https://www.uni-osnabrueck.de/universitaet/organisation/international-office/coordination-refugeesuos/studienfinanzierung/); [Student Union BAFöG](https://www.studentenwerk-osnabrueck.de/de/finanzen.html); [Scholarships and Funding](https://www.uni-osnabrueck.de/studieninteressierte/stipendien-und-foerderung/)"
"Das hängt davon ab, welchen Studiengang du im Bereich Germanistik auf Lehramt wählst! Hier eine Auswahl von Studiengängen, die die Universität Osnabrück anbietet. Für weitere Optionen lohnt sich ein Blick auf die offiziellen Studiengangseiten.

NC erforderlich im Bachelor:
[Deutsch – Lehramt an Grundschulen](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/deutsch-lehramt-an-berufsbildenden-schulen/)
[Deutsch – Lehramt an Gymnasien](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/deutsch-lehramt-an-gymnasien/)

Kein NC erforderlich im Bachelor:
[Deutsch – Lehramt an berufsbildenden Schulen](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/deutsch-lehramt-an-berufsbildenden-schulen/)

Für mehr Details kannst du auf [Zulassungsbeschränkungen und Bewerbungstermine – Studienjahr 2025 nachschauen](https://www.uni-osnabrueck.de/studieninteressierte/bewerbung/zugangsvoraussetzungen/zulassungsbeschraenkungen/#c240239). 
Für weitere Informationen oder eine vollständige Liste der Studiengänge empfehle ich, die [Studiengänge A-Z](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/) zu konsultieren.

Möchtest du mehr zu einem bestimmten Studiengang wissen?","[Zulassungsbeschränkungen und Bewerbungstermine – Studienjahr 2025 nachschauen](https://www.uni-osnabrueck.de/studieninteressierte/bewerbung/zugangsvoraussetzungen/zulassungsbeschraenkungen/#c240239); [Studiengänge A-Z](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/); [Deutsch – Lehramt an Grundschulen](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/deutsch-lehramt-an-berufsbildenden-schulen/); [Deutsch – Lehramt an Gymnasien](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/deutsch-lehramt-an-gymnasien/); [Deutsch – Lehramt an berufsbildenden Schulen](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/deutsch-lehramt-an-berufsbildenden-schulen/)","194","4","enrolled","A2","A1","","A4","A4","Cognitive Science","A2","9338.83","That depends on which degree program in the field of German studies for teaching you choose! Here is a selection of degree programs offered by the University of Osnabrück. For more options, it is worth taking a look at the official degree program pages.

NC required in the Bachelor's program:
[German – Teaching at Primary Schools](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/deutsch-lehramt-an-berufsbildenden-schulen/)
[German – Teaching at High Schools](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/deutsch-lehramt-an-gymnasien/)

No NC required in the Bachelor's program:
[German – Teaching at Vocational Schools](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/deutsch-lehramt-an-berufsbildenden-schulen/)

For more details, you can check [Admission Restrictions and Application Deadlines – Academic Year 2025](https://www.uni-osnabrueck.de/studieninteressierte/bewerbung/zugangsvoraussetzungen/zulassungsbeschraenkungen/#c240239). 
For further information or a complete list of degree programs, I recommend consulting the [Degree Programs A-Z](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/).

Would you like to know more about a specific degree program?","[Admission restrictions and application deadlines – Check for the academic year 2025](https://www.uni-osnabrueck.de/studieninteressierte/bewerbung/zugangsvoraussetzungen/zulassungsbeschraenkungen/#c240239); [Degree Programs A-Z](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/); [German – Teaching at Primary Schools](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/deutsch-lehramt-an-berufsbildenden-schulen/); [German – Teaching at High Schools](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/deutsch-lehramt-an-gymnasien/); [German – Teaching at Vocational Schools](https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge-a-z/deutsch-lehramt-an-berufsbildenden-schulen/)"
