"survey_number","token","url","question_id","survey_distributed","survey_filled"
"1","5349206","https://survey.academiccloud.de/index.php/617474?lang=de","[336   9 203]","True","True"
"2","7986867","https://survey.academiccloud.de/index.php/127196?lang=de","[194 153 105]","True","True"
"3","5752689","https://survey.academiccloud.de/index.php/122995?lang=de","[129 351 212]","True","True"
"4","5546654","https://survey.academiccloud.de/index.php/379389?lang=de","[143 123 315]","True","True"
"5","9977102","https://survey.academiccloud.de/index.php/413998?lang=de","[328 347 111]","True","True"
"6","5406616","https://survey.academiccloud.de/index.php/464178?lang=de","[ 83 213 230]","True","True"
"7","7501013","https://survey.academiccloud.de/index.php/218942?lang=de","[273 333 240]","True","True"
"8","4247886","https://survey.academiccloud.de/index.php/454335?lang=de","[238  92 186]","True","True"
"9","8370473","https://survey.academiccloud.de/index.php/321695?lang=de","[365 145 236]","True","False"
"10","1970763","https://survey.academiccloud.de/index.php/118494?lang=de","[147  94 364]","True","False"
"11","5864816","https://survey.academiccloud.de/index.php/263395?lang=de","[196 113 341]","True","True"
"12","2392029","https://survey.academiccloud.de/index.php/774863?lang=de","[ 73 204 356]","True","True"
"13","4240016","https://survey.academiccloud.de/index.php/964899?lang=de","[ 32 298 167]","True","True"
"14","4092421","https://survey.academiccloud.de/index.php/459649?lang=de","[282 342 151]","False","False"
"15","3512973","https://survey.academiccloud.de/index.php/916736?lang=de","[296 357  10]","False","False"
"16","7143841","https://survey.academiccloud.de/index.php/359325?lang=de","[231 137 107]","False","False"
"17","5169737","https://survey.academiccloud.de/index.php/775191?lang=de","[ 71  27 338]","False","False"
"18","9001173","https://survey.academiccloud.de/index.php/314353?lang=de","[ 75 367 247]","False","False"
"19","8630575","https://survey.academiccloud.de/index.php/881532?lang=de","[306  21  96]","False","False"
"20","4488780","https://survey.academiccloud.de/index.php/685898?lang=de","[ 45 264 325]","False","False"
"21","1058183","https://survey.academiccloud.de/index.php/894489?lang=de","[136 241 159]","False","False"
"22","8839145","https://survey.academiccloud.de/index.php/625182?lang=de","[340 134 281]","False","False"
"23","5873210","https://survey.academiccloud.de/index.php/128953?lang=de","[343 316 289]","False","False"
"24","8796734","https://survey.academiccloud.de/index.php/596199?lang=de","[ 57 180 290]","False","False"
"25","7081487","https://survey.academiccloud.de/index.php/446832?lang=de","[ 80 249 187]","False","False"
"26","2390802","https://survey.academiccloud.de/index.php/929535?lang=de","[190 162 149]","False","False"
"27","5081851","https://survey.academiccloud.de/index.php/953854?lang=de","[288 245 255]","False","False"
"28","6069905","https://survey.academiccloud.de/index.php/454983?lang=de","[188  51 202]","False","False"
"29","1171997","https://survey.academiccloud.de/index.php/115837?lang=de","[ 85 353  50]","False","False"
"30","1982197","https://survey.academiccloud.de/index.php/699844?lang=de","[319  86 102]","False","False"
"31","9668909","https://survey.academiccloud.de/index.php/746955?lang=de","[ 60 239   8]","False","False"
"32","9258396","https://survey.academiccloud.de/index.php/681615?lang=de","[349   6 362]","False","False"
"33","5262018","https://survey.academiccloud.de/index.php/528977?lang=de","[ 78 274 305]","False","False"
"34","5168242","PLACEHOLDER","[254  63 370]","False","False"
"35","1850682","PLACEHOLDER","[297   4 291]","False","False"
"36","5135524","PLACEHOLDER","[87 88 14]","False","False"
"37","2622224","PLACEHOLDER","[229 185 183]","False","False"
"38","6326137","PLACEHOLDER","[300  37 226]","False","False"
"39","1349054","PLACEHOLDER","[267 103 287]","False","False"
"40","9314071","PLACEHOLDER","[ 36  22 189]","False","False"
"41","9519307","PLACEHOLDER","[211  41  56]","False","False"
"42","1087200","PLACEHOLDER","[200 198 138]","False","False"
"43","5857247","PLACEHOLDER","[327 195 139]","False","False"
"44","4593567","PLACEHOLDER","[266 101 152]","False","False"
"45","8084180","PLACEHOLDER","[322  47 292]","False","False"
