"question_text","role","program","participant_id","question_id","question_language","age","gender","gender[other]","educationlevel","educationstatus","familiar","interviewtime","demographics_time","question_time","email_time"
"What do students usually learn in cognitive science?","enrolled","Cognitive Science","17","2","en","A2","A2","","A4","A4","A2","415.44","38.97","356.76","19.71"
"Ich möchte hier studieren, wo kann ich mehr Infos über verschiedene Studiengänge finden?","enrolled","Bachelor of Science Cognitive Science","18","3","de","A2","A1","","A4","A4","A2","539.12","66.19","456.09","16.84"
"Wie erreiche ich das Students Office?","enrolled","Cognitive Science","19","4","de","A3","A2","","A5","A4","A1","419.18","34.73","379.1","5.35"
"Wie könnte mein Stundenplan im Studiengang Cognitive Science in den ersten drei Semestern aussehen?","enrolled","Cognitive Science","20","5","de","A2","A2","","A4","A4","A2","443.46","49.35","347.8","46.31"
"Welche Studiengänge gibt es, die ausschließlich auf Englisch unterrichtet werden?","enrolled","Cognitive Science","21","6","de","A2","A2","","A5","A4","A3","848.8","55.92","751.32","41.56"
"wo kann ich informationen zu dem Dekanat aus meinem Fachbereich finden. Ich studiere Cognitive Science.","enrolled","Cognitive Science","22","7","de","A3","A1","","A3","A4","A1","395.81","36.07","347.91","11.83"
"Wie melde ich mich in der Uni-Bibliothek an?","enrolled","Cognitive Science","23","8","de","A2","A2","","A4","A4","A2","496.45","76.49","396.08","23.88"
"Welche Master Studiengänge kann ich mit einem Cognitive Science Bachelor machen?","international","Bachelor of Science, Cognitive Science","24","9","de","A2","A2","","A4","A5","A1","531.26","48.45","447.18","35.63"
"Ich studiere Cognitive Science. Auf welchen Seiten der Universität kann ich aktuelle und korrekte Informationen zum Thema Pflicht-Auslandssemester erhalten? ","enrolled","Bachelor of Science, Cognitive Science","26","10","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08"
"Ich studiere Cognitive Science, wie kann ich von der alten zur neuen Pruefungsordnung wechselen?","enrolled","Cognitive Science","27","11","de","A2","A1","","A4","A4","A1","438.64","64.2","357.17","17.27"
"Kann ich mich für Master Cognitive science bewerben bevor ich mein Bachelor Abschluss Habe? ","enrolled","Cognitive Science","28","12","de","A3","A1","","A2","A4","A2","770.65","396.13","364.82","9.7"
"
Hi, I want study cognitive Science in the University of Osnabrück. Where can I find the regulations on what I need to finish the bachelor. As in what classes I need to take and what options I have.","enrolled","Cognitive Science","29","13","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45"
"Wie kann ich mich auf dem Campus zurechtfinden bzw. orientieren?","enrolled","Cognitive Science B.Sc.","31","14","de","A2","A2","","A4","A4","A3","485.73","47.36","423.78","14.59"
"Wo finde ich die Prüfungsordnung vom Bachelor in Cognitive Science?","enrolled","Cognitive Science","35","15","de","A2","A1","","A4","A4","A2","972.32","141.77","803.98","26.57"
"Wo finde ich das Modulhandbuch zum BA Psychologie? ","enrolled","Psychologie","36","16","de","A2","A2","","A5","A4","A2","1634.31","27.81","1526.32","80.18"
"Welche Studiengänge bietet die Universität Osnabrück an, und gibt es eine Übersicht der Bachelor- und Masterprogramme?","other",".","37","17","de","A8","A3","","A10","A8","A6","651.14","419.28","194.43","37.43"
"Gibt es einen NC für mein Studienfach?
Wenn JA, wo kann ich diesen finden?","enrolled","Lehramt für berufsbildende Schulen","39","18","de","A3","A1","","A5","A4","A2","310.06","54.0","244.02","12.04"
