"german_question_text_q","english_question_text_q","role_q","program_q","participant_id_q","question_id_q","question_language_q","age_q","gender_q","gender[other]_q","educationlevel_q","educationstatus_q","familiar_q","interviewtime_q","demographics_time_q","question_time_q","email_time_q","translation_done_q"
"Was lernen Studenten normalerweise in der Kognitionswissenschaft?","What do students usually learn in cognitive science?","enrolled","Cognitive Science","17","2","en","A2","A2","","A4","A4","A2","415.44","38.97","356.76","19.71","True"
"Ich möchte hier studieren, wo kann ich mehr Infos über verschiedene Studiengänge finden?","I want to study here, where can I find more information about different courses?","enrolled","Bachelor of Science Cognitive Science","18","3","de","A2","A1","","A4","A4","A2","539.12","66.19","456.09","16.84","True"
"Wie erreiche ich das Students Office?","How do I reach the Students Office?","enrolled","Cognitive Science","19","4","de","A3","A2","","A5","A4","A1","419.18","34.73","379.1","5.35","True"
"Wie könnte mein Stundenplan im Studiengang Cognitive Science in den ersten drei Semestern aussehen?","What could my schedule look like in the Cognitive Science degree program for the first three semesters?","enrolled","Cognitive Science","20","5","de","A2","A2","","A4","A4","A2","443.46","49.35","347.8","46.31","True"
"Welche Studiengänge gibt es, die ausschließlich auf Englisch unterrichtet werden?","What courses are there that are taught exclusively in English?","enrolled","Cognitive Science","21","6","de","A2","A2","","A5","A4","A3","848.8","55.92","751.32","41.56","True"
"wo kann ich informationen zu dem Dekanat aus meinem Fachbereich finden. Ich studiere Cognitive Science.","Where can I find information about the dean's office from my department? I am studying Cognitive Science.","enrolled","Cognitive Science","22","7","de","A3","A1","","A3","A4","A1","395.81","36.07","347.91","11.83","True"
"Wie melde ich mich in der Uni-Bibliothek an?","How do I register at the university library?","enrolled","Cognitive Science","23","8","de","A2","A2","","A4","A4","A2","496.45","76.49","396.08","23.88","True"
"Welche Master Studiengänge kann ich mit einem Cognitive Science Bachelor machen?","Which master's degree programs can I do with a Cognitive Science bachelor's degree?","international","Bachelor of Science, Cognitive Science","24","9","de","A2","A2","","A4","A5","A1","531.26","48.45","447.18","35.63","True"
"Ich studiere Cognitive Science. Auf welchen Seiten der Universität kann ich aktuelle und korrekte Informationen zum Thema Pflicht-Auslandssemester erhalten? ","I am studying Cognitive Science. On which pages of the university can I get current and correct information about the mandatory semester abroad?","enrolled","Bachelor of Science, Cognitive Science","26","10","de","A2","A1","","A4","A4","A1","1198.34","78.39","1090.87","29.08","True"
"Ich studiere Cognitive Science, wie kann ich von der alten zur neuen Pruefungsordnung wechselen?","I am studying Cognitive Science, how can I switch from the old to the new examination regulations?","enrolled","Cognitive Science","27","11","de","A2","A1","","A4","A4","A1","438.64","64.2","357.17","17.27","True"
"Kann ich mich für Master Cognitive science bewerben bevor ich mein Bachelor Abschluss Habe? ","Can I apply for a Master's in Cognitive Science before I have my Bachelor's degree?","enrolled","Cognitive Science","28","12","de","A3","A1","","A2","A4","A2","770.65","396.13","364.82","9.7","True"
"Hallo, ich möchte Kognitionswissenschaften an der Universität Osnabrück studieren. Wo kann ich die Bestimmungen darüber finden, was ich brauche, um den Bachelor abzuschließen? Also welche Kurse ich belegen muss und welche Optionen ich habe.","
Hi, I want study cognitive Science in the University of Osnabrück. Where can I find the regulations on what I need to finish the bachelor. As in what classes I need to take and what options I have.","enrolled","Cognitive Science","29","13","en","A2","A2","","A4","A4","A1","886.18","99.94","636.79","149.45","True"
"Wie kann ich mich auf dem Campus zurechtfinden bzw. orientieren?","How can I find my way around or orient myself on campus?","enrolled","Cognitive Science B.Sc.","31","14","de","A2","A2","","A4","A4","A3","485.73","47.36","423.78","14.59","True"
"Wo finde ich die Prüfungsordnung vom Bachelor in Cognitive Science?","Where can I find the examination regulations for the Bachelor's in Cognitive Science?","enrolled","Cognitive Science","35","15","de","A2","A1","","A4","A4","A2","972.32","141.77","803.98","26.57","True"
"Wo finde ich das Modulhandbuch zum BA Psychologie? ","Where can I find the module handbook for the BA in Psychology?","enrolled","Psychologie","36","16","de","A2","A2","","A5","A4","A2","1634.31","27.81","1526.32","80.18","True"
"Welche Studiengänge bietet die Universität Osnabrück an, und gibt es eine Übersicht der Bachelor- und Masterprogramme?","What courses does the University of Osnabrück offer, and is there an overview of the bachelor's and master's programs?","other",".","37","17","de","A8","A3","","A10","A8","A6","651.14","419.28","194.43","37.43","True"
"Gibt es einen NC für mein Studienfach?
Wenn JA, wo kann ich diesen finden?","Is there a numerus clausus for my field of study?
If YES, where can I find it?","enrolled","Lehramt für berufsbildende Schulen","39","18","de","A3","A1","","A5","A4","A2","310.06","54.0","244.02","12.04","True"
"Wie sind die Öffnungszeiten der Bibliothek Heger-Tor-Wall?","What are the opening hours of the Heger-Tor-Wall library?","enrolled","Wirtschaftsrecht","43","20","de","A2","A2","","A4","A4","A3","343.07","45.47","292.08","5.52","True"
"Wo finde ich einen Gebäudeplan der Universität Osnabrück?","Where can I find a building plan of the University of Osnabrück?","enrolled","Wirtschaftsrecht","46","21","de","A3","A2","","A6","A4","A4","471.32","61.98","394.89","14.45","True"
"Was tut die Universität Osnabrück konkret, um marginalisierte Gruppen im Studienleben zu fördern?","What specific actions is the University of Osnabrück taking to support marginalized groups in academic life?","enrolled","","47","22","de","A3","-oth-","Nichtbinär","A5","A4","A3","392.53","39.66","344.84","8.03","True"
"Was sind die Öffnungszeiten des Prüfungsamt Cognitive Science? ","What are the opening hours of the Cognitive Science Examination Office?","other","","49","23","de","A3","A2","","A6","A7","A2","531.24","61.25","464.91","5.08","True"
"Wie bekomme ich eine neue Campus-Karte?","How do I get a new Campus card?","enrolled","Cognitive Science","50","24","en","A3","A2","","A4","A4","A2","236.81","29.64","192.72","14.45","True"
"Welche Kurse muss ich belegen?","Which courses do I need to take?","enrolled","Master Lehramt an Gymnasien","51","25","de","A3","A2","","A5","A4","A3","440.72","70.19","358.17","12.36","True"
"Wie viel kostet es, als internationaler Student in Osnabrück zu leben?","How much does it cost to live in Osnabrück as an international student?","enrolled","Cognitive Science","52","26","en","A3","A2","","A5","A4","A1","411.74","52.45","296.34","62.95","True"
